Recipe Name,Recipe ID,Preparation Time (min),nutrition,Number of Steps,Steps,Description,Products,Number of Products,Taste Rating,Shelf Time
anzac,269655,35,"[31.5, 2.0, 0.0, 0.0, 1.0, 3.0, 1.0]",7,"['mix all the ingredients but the water in a food processor', 'pour in the water , little at the time to see how the dough is doing', 'you might need more or less water', 'the dough should not be sticky', 'roll it out , about 3mm thick', 'cut out shapes , i made hearts but anything not too small or delicate will work', 'bake at 180c for about 15 minutes']","originally it was a recipe for australian cookies which someone icelandic made healthy and i made it even healthier, so now it is austrian.
today, when waiting for the first plate getting ready in the oven i realized that my dream of publishing a cookbook could become true one day. i have told myself it could not as i feel not like having invented lots of recipes myself. on the other hand, i change every single recipe i ever look at and try out so that is just about the same as the just give me an idea and some basic input. i am feeling content about this and feel grateful that i realized that.","['whole wheat flour', 'oatmeal', 'coconut', 'sesame seeds', 'agave syrup', 'applesauce', 'coconut fat', 'baking powder', 'hot water']",9,4,15
mouthwatering beef lasagna,367637,80,"[552.1, 55.0, 34.0, 51.0, 73.0, 103.0, 7.0]",20,"['brown the beef in a large sauce pan on medium heat until cooked through', 'stir frequently', 'add onion and garlic and cook until onion softens and becomes translucent', 'stir frequently', 'add tomato paste and stir until meat is evenly coated with the tomato paste', 'then add chopped tomatoes , chicken broth , oregano , salt and pepper', 'give it a quick stir', 'bring the meat mixture to a boil then reduce the heat to low', 'let it simmer covered for 30 minutes until it thickens', 'stir occasionally', 'preheat your oven to 350f', 'in another small sauce pan , mix together the butter , flour and milk', 'put on low heat and stir vigorously until it thickens , about 10-15 minutes', 'add cheddar cheese slice or shredded parmesan cheese', 'continue stirring until the cheese melts', 'finally add salt and pepper to your taste', 'assemble the lasagna: put the first layer meat sauce , second layer lasagna , third layer meat sauce , then bechamel sauce , shredded cheddar cheese , lasagna , meat', 'repeat this until you use up all the sauces , making the final layer bechamel sauce', 'bake for 35 minutes until the bechamel is lightly golden brown', 'let it cool for 15-20 minutes before serving']","i happened to get this recipe from the internet months ago and have already made it many times since i'm a big lasagna fan!  i adapted it a little bit this time.  surprisingly the result came out so great.  my hubby loved it so much and said this is the way in which i should make my lasagnas in the future!  we ate it with some freshly toasted garlic bread.  wow!--so yummy:-) and of course, you can prepare in advance.  just let it cool and store it in the fridge for a couple of days and then microwave it on the highest temperature for 2 minutes and you're ready to enjoy!  the leftovers even tastes better!","['onion', 'garlic clove', 'carrot', 'lean ground beef', 'tomato paste', 'tomatoes', 'chicken broth', 'dried oregano', 'salt', 'black pepper', 'lasagna sheets', 'cheddar cheese', 'butter', 'flour', 'milk', 'salt and pepper']",16,8,19
fish flambe with fennel,308032,40,"[466.0, 48.0, 0.0, 4.0, 86.0, 22.0, 0.0]",7,"['combine olive oil , fennel , thyme , parsley , wine and ouzo', 'made 2 slanting incisions on each side of fish', 'coat fish with marinade', 'broil fish over medium-high coals , using 10 minutes per inch as a time measurement , turning once', 'place on hot platter', 'heat cognac and flame , then pour over fish', 'serve with natural juices on platter']","this recipe used a firm white fish such as bluefish, striped bass, perch or trout.  this comes from the best of bon appetit.","['olive oil', 'dried fennel', 'thyme', 'parsley', 'lemon juice', 'ouzo', 'firm white fish', 'cognac']",8,8,17
mom s gingerbread,439388,50,"[306.4, 19.0, 94.0, 10.0, 7.0, 16.0, 15.0]",8,"['preheat oven to 350 degrees', 'grease 9"" x 9"" baking pan', 'cream molasses , sugar , shortening and eggs', 'set aside', 'boil water , stir in baking soda , set aside', 'sift together remaining dry ingredients , blend into creamed mixture', 'add boiled water with baking soda , mix well', 'bake at 350 degrees for 35 minutes']","old fashioned molasses gingerbread, moist and heavy.  serve with whipped cream.","['molasses', 'brown sugar', 'shortening', 'eggs', 'boiling water', 'baking soda', 'flour', 'salt', 'baking powder', 'ginger', 'cinnamon']",11,6,10
grape juice spritzers,161424,5,"[281.4, 0.0, 275.0, 0.0, 1.0, 0.0, 23.0]",2,"['fill champagne flutes halfway with sprite or seltzer', 'fill the rest of the way with grae juice']",i have been making these for my children for at least 30 years. it is good and looks lovely.,"['sprite', 'white grape juice']",2,6,8
janet millard s party perfect potatoes,69807,50,"[511.0, 49.0, 17.0, 27.0, 23.0, 95.0, 15.0]",9,"['boil potatoes , and allow to cool', 'peel and shred potatoes', 'place potatoes in 9""x13"" casserole dish', 'melt butter in 2-quart sauce pan', 'add onions and saute', 'add soup , sour cream and cheese', 'pour sauce over potatoes in casserole dish', 'top with corn flakes', 'bake to 300f for 30 to 45 minutes or until heated through']",,"['potatoes', 'butter', 'onion', 'cream of chicken soup', 'sour cream', 'cheddar cheese', 'corn flakes']",7,7,30
fried green tomato and pancetta panini,238929,30,"[735.7, 48.0, 23.0, 33.0, 56.0, 54.0, 28.0]",21,"['put 1 cup flour in shallow bowl', 'in another shallow bowl , combine 1 / 2 cup flour , cornmeal , salt , and pepper', 'put eggs in another bowl', 'season tomato slices with salt and pepper', 'dredge in flour', 'dip into eggs , letting excess drip off', 'dredge in cornmeal mix', 'place on plate', 'in deep saute pan over medium heat , warm 1 / 2 cup oil and 3 tablespoons pancetta fat', 'fry tomatoes in batches , turning once , until golden , 2-3 minutes per side', 'add more fat to pan as needed', 'preheat electric panini press', 'brush one side of each bread slice with olive oil', 'lay slices , oiled side down , on panini griddle / wok surface', 'place cheese on half of slices', 'top with pancetta , 2 or 3 tomato slices , and one of the other bread slices , oiled side up', 'cook sandwiches on panini press until bread is golden and cheese is melted , 3-5 minutes', 'transfer to cutting board', 'place 1 / 4 cup arugula inside each sandwich', 'cut in half', 'serve and savor !']","this is a superb, unique sandwich that is pretty simple to prepare. i made these paninis for my family, all of whom loved them. recipe courtesy williams-sonoma.","['flour', 'cornmeal', 'salt and pepper', 'eggs', 'green tomatoes', 'olive oil', 'pancetta', 'country bread', 'provolone cheese', 'baby arugula']",10,1,13
eggs   rice,42978,7,"[158.2, 19.0, 1.0, 6.0, 18.0, 29.0, 0.0]",5,"['melt butter in a skillet', 'add left over rice', 'make sure rice is well heated and coated with butter', 'whisk eggs in a bowl then pour into the skillet', ""scramble the mixture until you feel it's done""]","on saturdays my daddy made breakfast, he was famous for coming up with strange things. now years later, my family loves to eat this for breakfast or dinner. my daughter would not eat anything unless it had cheese so she use to call it cheese rice. you can add just about anything to this easy easy dish.","['rice', 'butter', 'eggs', 'salt and pepper']",4,8,15
easy eggplant  aubergine  casserole,69468,75,"[413.9, 38.0, 54.0, 35.0, 35.0, 59.0, 11.0]",12,"['peel and slice the eggplant 1 cm thick and place the slices on a plate in a single layer', 'salt them heavily , cover with another plate and weight', 'leave for 1 / 2 to one hour', 'cut the bread into cubes', 'peel and chop the onion', 'saut the bread cubes with the spices in 1 tbsp of olive oil , and lay them in a small lasagne pan when they are nicely browned', 'rinse and gently squeeze dry the eggplant', 'cut it in to 1 cm cubes and saut them , with the onion , in the remaining olive oil , until the eggplant is tender', 'add the tomatoes and simmer for a few minutes', 'mix into the toasted bread cubes in the lasagne pan', 'top with the grated cheese', 'bake at 350f for 30 minutes']","the technique may seem a little strange here, but it is not unlike making a dressing or stuffing for poultry. the end result is a delicious vegetarian main dish for the fall. it has a rich taste and meaty texture; some of my vegetarian friends were very suspicious while eating it, but i wouldn't fool them!","['eggplant', 'onion', 'crushed tomatoes', 'whole wheat bread', 'dried rosemary', 'rubbed sage', 'olive oil', 'salt and pepper', 'old cheddar cheese']",9,6,15
cheesy artichoke pinwheels,190400,19,"[43.1, 3.0, 1.0, 2.0, 3.0, 5.0, 1.0]",12,"['preheat oven to 375', 'chop artichoke hearts up', 'combine all ingredients in a medium bowl', 'mix until well blended', 'separate crescents into 2 long rectangles', 'pinch seams together', 'spread cream cheese mixture over the top of the rectangle', 'try to avoid the edge , because once your roll them the ends will be hard to seal and the filling will come out', 'take the longest side of the rectangle and roll up', 'then cut into about 16 pieces per rectangle', 'place on a cookie sheet', 'bake for about 12-14 minutes or until golden brown']",easy and quick appetizer.,"['crescent rolls', 'cream cheese', 'parmesan cheese', 'marinated artichoke hearts', 'garlic powder', 'sour cream']",6,2,27
poppy seed roll  makowiec    bread machine method,88883,60,"[216.9, 7.0, 26.0, 7.0, 12.0, 6.0, 12.0]",31,"['scald milk and stir in sugar , salt and shortening or butter', 'cool to lukewarm', 'dissolve yeast in warm water', 'stir until dissolved , then stir into the lukewarm milk mixture', 'add beaten eggs and 3 cups flour', 'beat until smooth and stir in an additional 2 cups flour', 'turn dough out onto lightly floured board and knead until smooth and elastic', 'place in a greased bowl and brush top with vegetable oil', 'cover and let rise in a warm place , free from draft , until double in bulk', 'punch down and turn out onto lightly floured board', 'cut into 2 rounds or 4 to make smaller loafs', 'roll out one dough into a rectangle about 12x9', 'spread 1 can of filling within 1 inch of sides', 'roll up long side into a roll', 'pinch seams tight so no filling escapes', 'you can use egg slightly beaten to seal', 'i always have poppy seed escape', 'a hint if you want it to keep the shape of the roll place it in parchment paper securing the seams of the parchment and make sure the seam of the dough is down', 'i prefer to bake in loaf pans as you see in the pictures i posted here', 'place on pan and let rise 1 hour until doubled', 'bake in a preheated oven at 425f for 30 minutes', 'until nicely browned', 'remove parchment if using and let cool', 'you can top with a powdered sugar glaze or slice and spread some sweet butter on it', 'alternative bread machine method:', 'place the eggs , room temperature buttermilk , and 1 / 2 water in first unless your machine has wet last then reverse', 'cover with 2 cups flour add butter and salt top with the rest of the flour and sugar', 'make a small indent in the flour and place yeast in', 'set on dough cycle and let process for a bit if it needs more water slowly add', 'then follow with rolling and filling as above', 'i found that the last rising was 15 minutes with this method !']","enjoyed at christmas and easter. i make this for friends and family to take home on easter.  some likes lots of poppy seed filling and others request a little. it's hard to please everyone with one roll so i make a bunch. depending on how dry your flour is you may need more or less water. you can make the dough the day before let raise one hour punch down then refrigerate over night. then bring to room temp. let rise 1 hour. posted pictures on march,05 alternate way to make dough in the food processor is the 1st picture, 2 is kneading in processor with eggs and wet ingredients, 3rd is the proof, 4th is 3 batches of dough one as recipe calls for,one is with 1 cup of rye and the third is with one cup of wheat flour(which made a drier dough). 5th picture dough rolled out with filling on it. 6th is rolling up. 7th placed in loaf pans. 8th is egg washed and topped with dry poppy seeds. 9th baked.
easter 2006-made dough in bread machine and it came out beautiful. the rest is really nice in the draft free and temp controlled machine.","['buttermilk', 'sugar', 'salt', 'shortening', 'dry yeast', 'warm water', 'eggs', 'all-purpose flour', 'poppy seed filling']",9,1,10
